"","Unicode","Description"
"624","U+1F4BB","PERSONAL COMPUTER"
"625","U+1F4BC","BRIEFCASE"
"626","U+1F4BD","MINIDISC"
"627","U+1F4BE","FLOPPY DISK"
"628","U+1F4BF","OPTICAL DISC"
"629","U+1F4C0","DVD"
"630","U+1F4C1","FILE FOLDER"
"631","U+1F4C2","OPEN FILE FOLDER"
"632","U+1F4C3","PAGE WITH CURL"
"633","U+1F4C4","PAGE FACING UP"
"634","U+1F4C5","CALENDAR"
"635","U+1F4C6","TEAR-OFF CALENDAR"
"636","U+1F4C7","CARD INDEX"
"637","U+1F4C8","CHART WITH UPWARDS TREND"
"638","U+1F4C9","CHART WITH DOWNWARDS TREND"
"639","U+1F4CA","BAR CHART"
"640","U+1F4CB","CLIPBOARD"
"641","U+1F4CC","PUSHPIN"
"642","U+1F4CD","ROUND PUSHPIN"
"643","U+1F4CE","PAPERCLIP"
"644","U+1F4CF","STRAIGHT RULER"
"645","U+1F4D0","TRIANGULAR RULER"
"646","U+1F4D1","BOOKMARK TABS"
"647","U+1F4D2","LEDGER"
"648","U+1F4D3","NOTEBOOK"
"649","U+1F4D4","NOTEBOOK WITH DECORATIVE COVER"
"650","U+1F4D5","CLOSED BOOK"
"651","U+1F4D6","OPEN BOOK"
"652","U+1F4D7","GREEN BOOK"
"653","U+1F4D8","BLUE BOOK"
"654","U+1F4D9","ORANGE BOOK"
"655","U+1F4DA","BOOKS"
"656","U+1F4DB","NAME BADGE"
"657","U+1F4DC","SCROLL"
"658","U+1F4DD","MEMO"
"659","U+1F4DE","TELEPHONE RECEIVER"
"660","U+1F4DF","PAGER"
"661","U+1F4E0","FAX MACHINE"
"662","U+1F4E1","SATELLITE ANTENNA"
"663","U+1F4E2","PUBLIC ADDRESS LOUDSPEAKER"
"664","U+1F4E3","CHEERING MEGAPHONE"
"665","U+1F4E4","OUTBOX TRAY"
"666","U+1F4E5","INBOX TRAY"
"667","U+1F4E6","PACKAGE"
"668","U+1F4E7","E-MAIL SYMBOL"
"669","U+1F4E8","INCOMING ENVELOPE"
"670","U+1F4E9","ENVELOPE WITH DOWNWARDS ARROW ABOVE"
"671","U+1F4EA","CLOSED MAILBOX WITH LOWERED FLAG"
"672","U+1F4EB","CLOSED MAILBOX WITH RAISED FLAG"
"673","U+1F4EE","POSTBOX"
"674","U+1F4F0","NEWSPAPER"
"675","U+1F4F1","MOBILE PHONE"
"676","U+1F4F2","MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT"
"677","U+1F4F3","VIBRATION MODE"
"678","U+1F4F4","MOBILE PHONE OFF"
"679","U+1F4F6","ANTENNA WITH BARS"
"680","U+1F4F7","CAMERA"
"681","U+1F4F9","VIDEO CAMERA"
"682","U+1F4FA","TELEVISION"
"683","U+1F4FB","RADIO"
"684","U+1F4FC","VIDEOCASSETTE"
"685","U+1F503","CLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS"
"686","U+1F50A","SPEAKER WITH THREE SOUND WAVES"
"687","U+1F50B","BATTERY"
"688","U+1F50C","ELECTRIC PLUG"
"689","U+1F50D","LEFT-POINTING MAGNIFYING GLASS"
"690","U+1F50E","RIGHT-POINTING MAGNIFYING GLASS"
"691","U+1F50F","LOCK WITH INK PEN"
"692","U+1F510","CLOSED LOCK WITH KEY"
"693","U+1F511","KEY"
"694","U+1F512","LOCK"
"695","U+1F513","OPEN LOCK"
"696","U+1F514","BELL"
"697","U+1F516","BOOKMARK"
"698","U+1F517","LINK SYMBOL"
"699","U+1F518","RADIO BUTTON"
"700","U+1F519","BACK WITH LEFTWARDS ARROW ABOVE"
"701","U+1F51A","END WITH LEFTWARDS ARROW ABOVE"
"702","U+1F51B","ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW ABOVE"
"703","U+1F51C","SOON WITH RIGHTWARDS ARROW ABOVE"
"704","U+1F51D","TOP WITH UPWARDS ARROW ABOVE"
"705","U+1F51E","NO ONE UNDER EIGHTEEN SYMBOL"
"706","U+1F51F","KEYCAP TEN"
"707","U+1F520","INPUT SYMBOL FOR LATIN CAPITAL LETTERS"
"708","U+1F521","INPUT SYMBOL FOR LATIN SMALL LETTERS"
"709","U+1F522","INPUT SYMBOL FOR NUMBERS"
"710","U+1F523","INPUT SYMBOL FOR SYMBOLS"
"711","U+1F524","INPUT SYMBOL FOR LATIN LETTERS"
"712","U+1F525","FIRE"
"713","U+1F526","ELECTRIC TORCH"
"714","U+1F527","WRENCH"
"715","U+1F528","HAMMER"
"716","U+1F529","NUT AND BOLT"
"717","U+1F52A","HOCHO"
"718","U+1F52B","PISTOL"
"719","U+1F52E","CRYSTAL BALL"
"720","U+1F52F","SIX POINTED STAR WITH MIDDLE DOT"
"721","U+1F530","JAPANESE SYMBOL FOR BEGINNER"
"722","U+1F531","TRIDENT EMBLEM"
"723","U+1F532","BLACK SQUARE BUTTON"
"724","U+1F533","WHITE SQUARE BUTTON"
"725","U+1F534","LARGE RED CIRCLE"
"726","U+1F535","LARGE BLUE CIRCLE"
"727","U+1F536","LARGE ORANGE DIAMOND"
"728","U+1F537","LARGE BLUE DIAMOND"
"729","U+1F538","SMALL ORANGE DIAMOND"
"730","U+1F539","SMALL BLUE DIAMOND"
"731","U+1F53A","UP-POINTING RED TRIANGLE"
"732","U+1F53B","DOWN-POINTING RED TRIANGLE"
"733","U+1F53C","UP-POINTING SMALL RED TRIANGLE"
"734","U+1F53D","DOWN-POINTING SMALL RED TRIANGLE"
"735","U+1F550","CLOCK FACE ONE OCLOCK"
"736","U+1F551","CLOCK FACE TWO OCLOCK"
"737","U+1F552","CLOCK FACE THREE OCLOCK"
"738","U+1F553","CLOCK FACE FOUR OCLOCK"
"739","U+1F554","CLOCK FACE FIVE OCLOCK"
"740","U+1F555","CLOCK FACE SIX OCLOCK"
"741","U+1F556","CLOCK FACE SEVEN OCLOCK"
"742","U+1F557","CLOCK FACE EIGHT OCLOCK"
"743","U+1F558","CLOCK FACE NINE OCLOCK"
"744","U+1F559","CLOCK FACE TEN OCLOCK"
"745","U+1F55A","CLOCK FACE ELEVEN OCLOCK"
"746","U+1F55B","CLOCK FACE TWELVE OCLOCK"
"747","U+1F5FB","MOUNT FUJI"
"748","U+1F5FC","TOKYO TOWER"
"749","U+1F5FD","STATUE OF LIBERTY"
"750","U+1F5FE","SILHOUETTE OF JAPAN"
"751","U+1F5FF","MOYAI"
"752","U+1F30D","EARTH GLOBE EUROPE-AFRICA"
"753","U+1F30E","EARTH GLOBE AMERICAS"
"754","U+1F310","GLOBE WITH MERIDIANS"
"755","U+1F312","WAXING CRESCENT MOON SYMBOL"
"756","U+1F316","WANING GIBBOUS MOON SYMBOL"
"757","U+1F317","LAST QUARTER MOON SYMBOL"
"758","U+1F318","WANING CRESCENT MOON SYMBOL"
"759","U+1F31A","NEW MOON WITH FACE"
"760","U+1F31C","LAST QUARTER MOON WITH FACE"
"761","U+1F31D","FULL MOON WITH FACE"
"762","U+1F31E","SUN WITH FACE"
"763","U+1F332","EVERGREEN TREE"
"764","U+1F333","DECIDUOUS TREE"
"765","U+1F34B","LEMON"
"766","U+1F350","PEAR"
"767","U+1F37C","BABY BOTTLE"
"768","U+1F3C7","HORSE RACING"
"769","U+1F3C9","RUGBY FOOTBALL"
"770","U+1F3E4","EUROPEAN POST OFFICE"
"771","U+1F400","RAT"
"772","U+1F401","MOUSE"
"773","U+1F402","OX"
"774","U+1F403","WATER BUFFALO"
"775","U+1F404","COW"
"776","U+1F405","TIGER"
"777","U+1F406","LEOPARD"
"778","U+1F407","RABBIT"
"779","U+1F408","CAT"
"780","U+1F409","DRAGON"
"781","U+1F40A","CROCODILE"
"782","U+1F40B","WHALE"
"783","U+1F40F","RAM"
"784","U+1F410","GOAT"
"785","U+1F413","ROOSTER"
"786","U+1F415","DOG"
"787","U+1F416","PIG"
"788","U+1F42A","DROMEDARY CAMEL"
"789","U+1F465","BUSTS IN SILHOUETTE"
"790","U+1F46C","TWO MEN HOLDING HANDS"
"791","U+1F46D","TWO WOMEN HOLDING HANDS"
"792","U+1F4AD","THOUGHT BALLOON"
"793","U+1F4B6","BANKNOTE WITH EURO SIGN"
"794","U+1F4B7","BANKNOTE WITH POUND SIGN"
"795","U+1F4EC","OPEN MAILBOX WITH RAISED FLAG"
"796","U+1F4ED","OPEN MAILBOX WITH LOWERED FLAG"
"797","U+1F4EF","POSTAL HORN"
"798","U+1F4F5","NO MOBILE PHONES"
"799","U+1F500","TWISTED RIGHTWARDS ARROWS"
"800","U+1F501","CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS"
"801","U+1F502","CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS WITH CIRCLED ONE OVERLAY"
"802","U+1F504","ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS"
"803","U+1F505","LOW BRIGHTNESS SYMBOL"
"804","U+1F506","HIGH BRIGHTNESS SYMBOL"
"805","U+1F507","SPEAKER WITH CANCELLATION STROKE"
"806","U+1F509","SPEAKER WITH ONE SOUND WAVE"
"807","U+1F515","BELL WITH CANCELLATION STROKE"
"808","U+1F52C","MICROSCOPE"
"809","U+1F52D","TELESCOPE"
"810","U+1F55C","CLOCK FACE ONE-THIRTY"
"811","U+1F55D","CLOCK FACE TWO-THIRTY"
"812","U+1F55E","CLOCK FACE THREE-THIRTY"
"813","U+1F55F","CLOCK FACE FOUR-THIRTY"
"814","U+1F560","CLOCK FACE FIVE-THIRTY"
"815","U+1F561","CLOCK FACE SIX-THIRTY"
"816","U+1F562","CLOCK FACE SEVEN-THIRTY"
"817","U+1F563","CLOCK FACE EIGHT-THIRTY"
"818","U+1F564","CLOCK FACE NINE-THIRTY"
"819","U+1F565","CLOCK FACE TEN-THIRTY"
"820","U+1F566","CLOCK FACE ELEVEN-THIRTY"
"821","U+1F567","CLOCK FACE TWELVE-THIRTY"
