"","Unicode","Description"
"131","U+1F6B6","PEDESTRIAN"
"132","U+1F6B9","MENS SYMBOL"
"133","U+1F6BA","WOMENS SYMBOL"
"134","U+1F6BB","RESTROOM"
"135","U+1F6BC","BABY SYMBOL"
"136","U+1F6BD","TOILET"
"137","U+1F6BE","WATER CLOSET"
"138","U+1F6C0","BATH"
"139","U+1F681","HELICOPTER"
"140","U+1F682","STEAM LOCOMOTIVE"
"141","U+1F686","TRAIN"
"142","U+1F688","LIGHT RAIL"
"143","U+1F68A","TRAM"
"144","U+1F68D","ONCOMING BUS"
"145","U+1F68E","TROLLEYBUS"
"146","U+1F690","MINIBUS"
"147","U+1F694","ONCOMING POLICE CAR"
"148","U+1F696","ONCOMING TAXI"
"149","U+1F698","ONCOMING AUTOMOBILE"
"150","U+1F69B","ARTICULATED LORRY"
"151","U+1F69C","TRACTOR"
"152","U+1F69D","MONORAIL"
"153","U+1F69E","MOUNTAIN RAILWAY"
"154","U+1F69F","SUSPENSION RAILWAY"
"155","U+1F6A0","MOUNTAIN CABLEWAY"
"156","U+1F6A1","AERIAL TRAMWAY"
"157","U+1F6A3","ROWBOAT"
"158","U+1F6A6","VERTICAL TRAFFIC LIGHT"
"159","U+1F6AE","PUT LITTER IN ITS PLACE SYMBOL"
"160","U+1F6AF","DO NOT LITTER SYMBOL"
"161","U+1F6B0","POTABLE WATER SYMBOL"
"162","U+1F6B1","NON-POTABLE WATER SYMBOL"
"163","U+1F6B3","NO BICYCLES"
"164","U+1F6B4","BICYCLIST"
"165","U+1F6B5","MOUNTAIN BICYCLIST"
"166","U+1F6B7","NO PEDESTRIANS"
"167","U+1F6B8","CHILDREN CROSSING"
"168","U+1F6BF","SHOWER"
"169","U+1F6C1","BATHTUB"
"170","U+1F6C2","PASSPORT CONTROL"
"171","U+1F6C3","CUSTOMS"
"172","U+1F6C4","BAGGAGE CLAIM"
"173","U+1F6C5","LEFT LUGGAGE"
"174","U+24C2","CIRCLED LATIN CAPITAL LETTER M"
"175","U+1F170","NEGATIVE SQUARED LATIN CAPITAL LETTER A"
"176","U+1F171","NEGATIVE SQUARED LATIN CAPITAL LETTER B"
"177","U+1F17E","NEGATIVE SQUARED LATIN CAPITAL LETTER O"
"178","U+1F17F","NEGATIVE SQUARED LATIN CAPITAL LETTER P"
"179","U+1F18E","NEGATIVE SQUARED AB"
"180","U+1F191","SQUARED CL"
"181","U+1F192","SQUARED COOL"
"182","U+1F193","SQUARED FREE"
"183","U+1F194","SQUARED ID"
"184","U+1F195","SQUARED NEW"
"185","U+1F196","SQUARED NG"
"186","U+1F197","SQUARED OK"
